127.0.0.1 - - [27/Aug/2020:15:07:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:07:04 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:08:20 +0900] "POST /spring/myProduct.do HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:08:22 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:08:56 +0900] "POST /spring/mySearch.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:08:59 +0900] "POST /spring/myProduct.do HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:09:00 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:10:10 +0900] "POST /spring/mySearch.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:10:22 +0900] "POST /spring/mySearch.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:11:37 +0900] "POST /spring/myProduct.do HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:11:37 +0900] "POST /spring/myProduct.do HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:11:38 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:12:18 +0900] "POST /spring/myProduct.do HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:12:19 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:14:09 +0900] "POST /spring/myProduct.do HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:14:10 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:17 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:17 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:18 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:18 +0900] "GET /spring/productRegister.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:22 +0900] "GET /spring/mySearch.do?word=aaaa HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [27/Aug/2020:15:26:51 +0900] "GET /spring/mySearch.do?word=aaaa HTTP/1.1" 200 152
